Day,Total Accidents,Year
Monday,0,2020
Tuesday,2,2020
Wednesday,0,2020
Thursday,0,2020
Friday,0,2020
Saturday,2,2020
Sunday,1,2020
Monday,3,2021
Tuesday,2,2021
Wednesday,1,2021
Thursday,0,2021
Friday,5,2021
Saturday,3,2021
Sunday,1,2021
Monday,0,2022
Tuesday,3,2022
Wednesday,1,2022
Thursday,6,2022
Friday,2,2022
Saturday,2,2022
Sunday,3,2022
Monday,0,2023
Tuesday,1,2023
Wednesday,8,2023
Thursday,1,2023
Friday,5,2023
Saturday,6,2023
Sunday,1,2023
Monday,5,2024
Tuesday,5,2024
Wednesday,4,2024
Thursday,3,2024
Friday,4,2024
Saturday,3,2024
Sunday,2,2024
