ID,Latitude,Longitude,Date,Time,Year,Month,Address
1,14.28418,121.009268,2020-01-06,5:00:00,2020,1,BANCAL
2,14.310483,121.047449,2020-01-11,8:10:00,2020,1,MABUHAY
3,14.320989,121.063088,2020-01-14,7:50:00,2020,1,MADUYA
4,14.18545,121.03101,2020-01-15,20:30:00,2020,1,CABILANG BAYBAY
5,14.19062,121.03111,2020-01-15,7:30:00,2020,1,CABILANG BAYBAY
6,14.280759,121.007441,2020-01-17,21:45:00,2020,1,BANCAL
7,14.315512,121.053409,2020-01-18,14:00:00,2020,1,CABILANG BAYBAY
8,14.318717,121.050539,2020-01-20,6:15:00,2020,1,BANCAL
9,14.306845,121.040068,2020-02-01,20:00:00,2020,2,MABUHAY
10,14.323114,121.06513,2020-02-02,19:30:00,2020,2,MADUYA
11,14.284101,121.008627,2020-02-09,20:15:00,2020,2,BANCAL
12,14.281984,121.00507,2020-02-12,21:20:00,2020,2,BANCAL
13,14.280759,121.007441,2020-02-13,12:30:00,2020,2,BANCAL
14,14.320989,121.063088,2020-02-13,5:10:00,2020,2,MADUYA
15,14.3104,121.043501,2020-02-14,13:00:00,2020,2,MABUHAY
16,14.284101,121.008627,2020-02-15,20:30:00,2020,2,BANCAL
17,14.310806,121.049777,2020-03-03,13:30:00,2020,3,MABUHAY
18,14.310629,121.049836,2020-03-11,5:20:00,2020,3,MABUHAY
19,14.322384,121.062014,2020-03-14,17:00:00,2020,3,MADUYA
20,14.310421,121.042053,2020-04-14,17:30:00,2020,4,MABUHAY
21,14.31013,121.041065,2020-05-21,7:30:00,2020,5,MABUHAY
22,14.17035,121.00328,2020-06-12,17:07:00,2020,6,BANCAL
23,14.320741,121.062947,2020-06-14,17:30:00,2020,6,MADUYA
24,14.315007,121.052414,2020-06-19,16:50:00,2020,6,CABILANG BAYBAY
25,14.17297,121.00575,2020-06-19,,2020,6,BANCAL
26,14.32267,121.064256,2020-06-22,5:30:00,2020,6,MADUYA
27,14.284667,121.008855,2020-06-22,9:50:00,2020,6,BANCAL
28,14.321598,121.063757,2020-06-23,10:00:00,2020,6,MADUYA
29,14.307669,121.047578,2020-07-05,16:30:00,2020,7,MILAGROSA
30,14.310164,121.049584,2020-07-08,19:20:00,2020,7,MABUHAY
31,14.31039,121.044456,2020-07-09,16:30:00,2020,7,MABUHAY
32,14.3104,121.042546,2020-07-31,18:45:00,2020,7,MABUHAY
33,14.320286,121.06262,2020-07-31,8:00:00,2020,7,MADUYA
34,14.319379,121.062351,2020-08-01,21:45:00,2020,8,MADUYA
35,14.31039,121.044155,2020-08-08,6:00:00,2020,8,MABUHAY
36,14.309153,121.040497,2020-08-23,22:00:00,2020,8,MABUHAY
37,14.309038,121.040454,2020-08-25,5:45:00,2020,8,MABUHAY
38,14.310411,121.043104,2020-08-28,4:30:00,2020,8,MABUHAY
39,14.318706,121.061676,2020-09-06,23:00:00,2020,9,MABUHAY
40,14.297109,121.049842,2020-09-06,9:20:00,2020,9,LANTIC
41,14.284019,121.008568,2020-09-17,6:30:00,2020,9,BANCAL
42,14.28117,121.009276,2020-09-23,19:40:00,2020,9,BANCAL
43,14.309454,121.050088,2020-09-24,2:47:00,2020,9,MABUHAY
44,14.285151,121.008959,2020-09-29,19:30:00,2020,9,BANCAL
45,14.1701,121.00303,2020-10-20,21:00:00,2020,10,BANCAL
46,14.284966,121.008941,2020-12-25,22:00:00,2020,12,BANCAL
47,14.310691,121.048683,2021-01-15,1:00:00,2021,1,MABUHAY
48,14.28418,121.009268,2021-02-01,5:30:00,2021,2,BANCAL
49,14.310618,121.048522,2021-02-19,8:30:00,2021,2,MABUHAY
50,14.310327,121.045357,2021-02-19,8:30:00,2021,2,MABUHAY
51,14.319881,121.063886,2021-03-08,13:30:00,2021,3,MADUYA
52,14.310421,121.042578,2021-03-23,10:00:00,2021,3,MABUHAY
53,14.310203,121.048071,2021-03-23,10:00:00,2021,3,MABUHAY
54,14.317407,121.059208,2021-03-28,11:00:00,2021,3,MADUYA
