Day,Total Accidents,Year
Monday,4,2020
Tuesday,7,2020
Wednesday,6,2020
Thursday,6,2020
Friday,9,2020
Saturday,7,2020
Sunday,7,2020
Monday,3,2021
Tuesday,9,2021
Wednesday,4,2021
Thursday,8,2021
Friday,4,2021
Saturday,2,2021
Sunday,8,2021
Monday,3,2022
Tuesday,5,2022
Wednesday,2,2022
Thursday,4,2022
Friday,0,2022
Saturday,5,2022
Sunday,7,2022
Monday,2,2023
Tuesday,2,2023
Wednesday,4,2023
Thursday,1,2023
Friday,5,2023
Saturday,7,2023
Sunday,5,2023
Monday,3,2024
Tuesday,4,2024
Wednesday,3,2024
Thursday,2,2024
Friday,3,2024
Saturday,5,2024
Sunday,3,2024
