Day,Total Accidents,Year
Monday,0,2020
Tuesday,1,2020
Wednesday,0,2020
Thursday,2,2020
Friday,0,2020
Saturday,0,2020
Sunday,1,2020
Monday,0,2021
Tuesday,3,2021
Wednesday,5,2021
Thursday,3,2021
Friday,3,2021
Saturday,1,2021
Sunday,9,2021
Monday,0,2022
Tuesday,5,2022
Wednesday,4,2022
Thursday,0,2022
Friday,6,2022
Saturday,2,2022
Sunday,7,2022
Monday,9,2023
Tuesday,11,2023
Wednesday,5,2023
Thursday,7,2023
Friday,11,2023
Saturday,12,2023
Sunday,16,2023
Monday,7,2024
Tuesday,8,2024
Wednesday,3,2024
Thursday,6,2024
Friday,4,2024
Saturday,9,2024
Sunday,13,2024
